number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
20	0.0040924293519281505	2020-07-17 05:22:04.146761	2020-07-17 05:50:49.944892	0.25077847730418085	18.111131368266097	64	2	6	0.016551699180364532	256	0.989570301408478	0.000270058789721147	0.0040924293519281505	0.0010109893153663451	0.001938883618510799	4671.34430937658	0.0028859867422728305	0.0003116062958320927	0.004244770207668285	0.001076772866708676	0.0020704507211954603	4671.256992099049	0.0029295168926459785	1046289217	150	0.000270058789721147	0.0040716555988726776	0.0010109893153663451	0.0019215721576312382	4671.43162665411	0.002855422623713658	20	COMPLETE
21	0.004525215873917168	2020-07-17 05:50:49.946197	2020-07-17 06:31:24.547379	0.4559890138356836	26.193301691539244	128	2	2	0.020208756699566472	128	0.983217168746373	0.0003739275549985112	0.004525215873917168	0.0012914349816152285	0.0022158669925837703	4640.825893444496	0.003144004260274824	0.0004085504767576326	0.004670632145305478	0.00137452999383712	0.002385519309203465	4640.702280958086	0.003194369505253636	1071026019	150	0.0003739275549985112	0.004483668367806223	0.0012845103972634042	0.002202017823880122	4640.9495059309065	0.003107382306626353	21	COMPLETE
22	0.004310553759010616	2020-07-17 06:31:24.548774	2020-07-17 07:00:14.746817	0.7331624236541244	9.1443028780618	64	2	8	0.020216007667065848	256	0.9164014340998043	0.00047779632027587543	0.004310553759010616	0.0013364447799020863	0.002212404700407858	4319.426057557145	0.003208359679734247	0.00048125861245178756	0.004341714388593825	0.0013468316564298228	0.0022262538691115064	4319.401262351727	0.0032145139423686506	659389415	150	0.00047779632027587543	0.004310553759010616	0.0013364447799020863	0.002212404700407858	4319.450852762563	0.0032035827626917704	22	COMPLETE
23	0.005719706674606857	2020-07-17 07:00:14.748231	2020-07-17 07:39:45.599412	0.4644408640776283	11.919914816922555	128	1	4	0.028295709459179818	128	0.7649468602686498	0.0017034477505487734	0.005719706674606857	0.00250669953536039	0.003680416582994606	3583.685893929217	0.004345550842222056	0.0017034477505487734	0.005719706674606857	0.00250669953536039	0.003680416582994606	3583.6805066025913	0.004345553190461154	856052557	150	0.0017034477505487734	0.005719706674606857	0.00250669953536039	0.003680416582994606	3583.6912812558426	0.004345548505219519	23	COMPLETE
24	0.005539667481459425	2020-07-17 07:39:45.600720	2020-07-17 07:59:31.918490	0.7817414518753388	20.074383000354953	128	1	9	0.011511296069834632	512	0.8829276220008077	0.002063526136843636	0.005539667481459425	0.002856391045127516	0.0036665674142909574	4158.519257269082	0.004587899143363354	0.002063526136843636	0.005539667481459425	0.002856391045127516	0.0036665674142909574	4158.5167159466255	0.004587900590436703	3991590830	150	0.002063526136843636	0.005539667481459425	0.002856391045127516	0.0036665674142909574	4158.52179859154	0.004587897705071246	24	COMPLETE
25	0.0009521303483758387	2020-07-17 07:59:31.919736	2020-07-17 08:28:46.504543	0.9798823586706836	25.471285394609982	128	2	5	0.09348196597180743	256	0.948812890027651	6.924584351824282e-05	0.0009521303483758387	0.0003393046332393898	0.0005193438263868211	4474.513367910091	0.0015134531780223157	6.924584351824282e-05	0.0009521303483758387	0.0003393046332393898	0.0005193438263868211	4474.41098793045	0.001513625090771863	3710739982	150	6.924584351824282e-05	0.0009521303483758387	0.0003393046332393898	0.0005193438263868211	4474.615747889733	0.0015132826792544128	25	COMPLETE
26	0.004407497939936156	2020-07-17 08:28:46.505812	2020-07-17 08:57:17.504458	0.805446770211826	13.536516936474294	128	1	4	0.09041572007822153	256	0.8473291507002966	0.0016792117053173884	0.004407497939936156	0.0023231980500370464	0.0029117877199421106	3980.7488886042115	0.00360671999810373	0.0016792117053173884	0.004407497939936156	0.0023231980500370464	0.0029117877199421106	3980.737599800572	0.0036067361480607847	1818013594	150	0.0016792117053173884	0.004407497939936156	0.0023231980500370464	0.0029117877199421106	3980.760177407851	0.003606704013310837	26	COMPLETE
27	0.00535270370396017	2020-07-17 08:57:17.505702	2020-07-17 09:16:38.463256	0.4502169348783913	13.72372396862028	64	1	10	0.050536568911465525	512	0.7262845596731421	0.0012083399693933372	0.00535270370396017	0.002530935580591775	0.003365347994986601	3405.0959972440155	0.004128998657757928	0.0012083399693933372	0.00535270370396017	0.002530935580591775	0.003365347994986601	3405.0927097975946	0.004129003156760309	3437848156	150	0.0012083399693933372	0.00535270370396017	0.002530935580591775	0.003365347994986601	3405.0992846904364	0.004128994281571382	27	COMPLETE
28	0.003562698649013593	2020-07-17 09:16:38.464492	2020-07-17 09:56:03.676792	0.5481123887054739	22.846197966925214	64	1	2	0.02535894735934984	128	0.8007089202650599	0.00036007838629486264	0.003562698649013593	0.0010871597432364122	0.0017796181784188404	3760.60560683595	0.002746432541907198	0.00036007838629486264	0.003562698649013593	0.0010871597432364122	0.0017796181784188404	3760.603294024776	0.002746434939669125	1866946212	150	0.00036007838629486264	0.003562698649013593	0.0010871597432364122	0.0017796181784188404	3760.6079196471233	0.0027464301639096383	28	COMPLETE
29	0.004417884816463892	2020-07-17 09:56:03.678128	2020-07-17 10:42:28.152568	0.4561528210147783	28.527130977942413	128	1	8	0.04187559104585895	128	0.7172478497471984	0.0009486680561999266	0.004417884816463892	0.0017103723349005976	0.002385519309203465	3356.554520714894	0.003377602173555914	0.0009486680561999266	0.004417884816463892	0.0017103723349005976	0.002385519309203465	3356.5493515126755	0.003377613805716005	2048116592	150	0.0009486680561999266	0.004417884816463892	0.0017103723349005976	0.002385519309203465	3356.559689917113	0.003377590876854736	29	COMPLETE
